# i 	s 	L 		u 	S 	I 	
1000 	117 	0.09928 	100985 	1000 	35 	
1000 	118 	0.087613 	27996 	0 	9 	
1000 	118 	0.093306 	34994 	1000 	12 	
1000 	118 	0.097902 	35995 	0 	12 	
1000 	118 	0.095636 	69989 	0 	24 	
1000 	119 	0.097061 	36994 	0 	12 	
1000 	119 	0.098639 	65990 	0 	22 	
1000 	119 	0.098723 	54991 	0 	18 	
1000 	120 	0.097874 	37994 	0 	12 	
1000 	120 	0.094739 	37994 	0 	12 	
1000 	120 	0.093693 	46993 	0 	15 	
1000 	121 	0.095715 	59991 	0 	19 	
1000 	121 	0.095873 	36994 	0 	12 	
1000 	121 	0.097091 	55991 	0 	18 	
1000 	121 	0.099535 	67989 	0 	22 	
1000 	122 	0.093333 	53991 	0 	17 	
1000 	122 	0.097108 	70989 	999 	23 	
1000 	122 	0.09944 	50992 	0 	16 	
1000 	123 	0.087852 	67989 	0 	21 	
1000 	123 	0.095194 	75988 	0 	24 	
1000 	123 	0.098144 	44993 	0 	14 	
1000 	124 	0.0963 	36994 	0 	11 	
1000 	124 	0.090334 	41993 	0 	14 	
1000 	124 	0.090615 	41993 	0 	14 	
1000 	124 	0.096831 	41993 	0 	14 	
1000 	125 	0.099968 	41993 	0 	14 	
1000 	125 	0.09236 	41993 	0 	14 	
1000 	125 	0.096059 	61991 	0 	21 	
1000 	126 	0.096895 	33995 	0 	11 	
1000 	126 	0.098207 	48992 	0 	16 	
1000 	126 	0.095802 	41994 	1000 	14 	
1000 	127 	0.092626 	33995 	0 	11 	
1000 	127 	0.097682 	27995 	0 	9 	
1000 	127 	0.09438 	51992 	0 	17 	
1000 	127 	0.095378 	69989 	0 	23 	
1000 	128 	0.097624 	28995 	0 	9 	
1000 	128 	0.094368 	47993 	0 	15 	
1000 	128 	0.095085 	74989 	999 	24 	
1000 	129 	0.099626 	53991 	0 	17 	
1000 	129 	0.09837 	38994 	0 	12 	
1000 	129 	0.097769 	50992 	0 	16 	
1000 	130 	0.096733 	38994 	1000 	12 	
1000 	130 	0.092315 	48992 	0 	15 	
1000 	130 	0.084533 	29995 	0 	9 	
1000 	130 	0.097125 	67990 	0 	21 	
1000 	131 	0.097754 	61991 	0 	17 	
1000 	131 	0.096736 	54991 	0 	15 	
1000 	131 	0.098435 	40993 	0 	11 	
1000 	132 	0.093689 	63990 	0 	17 	
1000 	132 	0.091336 	52991 	0 	14 	
1000 	132 	0.096387 	62990 	1000 	17 	
1000 	133 	0.094585 	74989 	0 	20 	
1000 	133 	0.091013 	116982 	0 	31 	
1000 	133 	0.091338 	73988 	1000 	20 	
1000 	133 	0.097032 	68990 	0 	18 	
1000 	134 	0.094837 	53992 	0 	14 	
1000 	134 	0.088465 	55991 	2000 	15 	
1000 	134 	0.094356 	68990 	0 	18 	
