# i 	s 	L 		u 	S 	I 	
1000 	121 	0.099199 	107984 	0 	47 	
1000 	121 	0.087338 	691895 	0 	304 	
1000 	122 	0.098694 	117982 	0 	51 	
1000 	122 	0.098297 	414937 	1000 	181 	
1000 	122 	0.098744 	170974 	0 	74 	
1000 	123 	0.092332 	180972 	0 	77 	
1000 	123 	0.099763 	103984 	0 	44 	
1000 	123 	0.094906 	222966 	0 	95 	
1000 	124 	0.099411 	73989 	0 	30 	
1000 	124 	0.096997 	120981 	0 	50 	
1000 	124 	0.09391 	114982 	1000 	48 	
1000 	124 	0.09823 	149977 	0 	62 	
1000 	125 	0.087865 	77988 	0 	32 	
1000 	125 	0.090025 	97985 	0 	40 	
1000 	125 	0.097763 	175974 	0 	72 	
1000 	126 	0.089785 	110983 	1000 	45 	
1000 	126 	0.091285 	133979 	0 	53 	
1000 	126 	0.094088 	108983 	1000 	44 	
1000 	127 	0.097171 	154977 	0 	62 	
1000 	127 	0.097411 	149977 	0 	60 	
1000 	127 	0.097443 	235964 	0 	93 	
1000 	127 	0.095075 	176973 	0 	71 	
1000 	128 	0.096217 	73988 	0 	28 	
1000 	128 	0.094817 	126981 	0 	49 	
1000 	128 	0.091492 	98985 	999 	38 	
1000 	129 	0.095495 	208969 	1000 	81 	
1000 	129 	0.098498 	148977 	0 	56 	
1000 	129 	0.097128 	131980 	1000 	51 	
1000 	130 	0.098122 	247962 	0 	94 	
1000 	130 	0.090249 	423936 	1000 	162 	
1000 	130 	0.093344 	254961 	1000 	97 	
1000 	130 	0.094579 	103984 	0 	39 	
1000 	131 	0.09413 	92985 	1000 	35 	
1000 	131 	0.090156 	208968 	0 	75 	
1000 	131 	0.09387 	222966 	0 	84 	
1000 	132 	0.098407 	186972 	0 	68 	
1000 	132 	0.094829 	182973 	0 	67 	
1000 	132 	0.098024 	172974 	0 	63 	
1000 	133 	0.099329 	109983 	1000 	40 	
1000 	133 	0.099559 	148978 	1000 	54 	
1000 	133 	0.095906 	167975 	1000 	61 	
1000 	133 	0.094899 	154977 	0 	56 	
1000 	134 	0.094098 	117982 	1000 	42 	
1000 	134 	0.094122 	164975 	1000 	58 	
1000 	134 	0.099711 	170974 	1000 	61 	
1000 	135 	0.091024 	128981 	0 	45 	
1000 	135 	0.0938 	226966 	0 	77 	
1000 	135 	0.091603 	98985 	2000 	35 	
1000 	136 	0.096109 	122981 	0 	42 	
1000 	136 	0.093957 	113983 	0 	39 	
1000 	136 	0.095863 	301954 	0 	105 	
1000 	136 	0.09089 	675897 	1000 	229 	
1000 	137 	0.096128 	152976 	0 	52 	
1000 	137 	0.095779 	107984 	0 	35 	
1000 	137 	0.086867 	146978 	0 	50 	
1000 	138 	0.09457 	108984 	1000 	36 	
1000 	138 	0.099587 	112983 	0 	38 	
1000 	138 	0.097297 	174973 	0 	59 	
1000 	139 	0.098001 	135979 	0 	45 	
1000 	139 	0.095922 	159976 	1000 	52 	
1000 	139 	0.097467 	195970 	0 	65 	
1000 	139 	0.095809 	151977 	0 	50 	
1000 	140 	0.093305 	96985 	0 	31 	
1000 	140 	0.097966 	346947 	0 	110 	
1000 	140 	0.095842 	104984 	0 	34 	
1000 	141 	0.093343 	120982 	0 	39 	
1000 	141 	0.097981 	161975 	2000 	53 	
1000 	141 	0.097317 	105984 	0 	34 	
1000 	142 	0.096337 	166975 	0 	50 	
1000 	142 	0.097538 	163975 	0 	51 	
1000 	142 	0.09789 	634903 	1000 	199 	
1000 	142 	0.095586 	203969 	1000 	64 	
1000 	143 	0.09118 	196970 	1000 	61 	
1000 	143 	0.099342 	167975 	0 	52 	
1000 	143 	0.095624 	117983 	0 	36 	
1000 	144 	0.098984 	298955 	0 	92 	
1000 	144 	0.097039 	172974 	0 	53 	
1000 	144 	0.095008 	325950 	2000 	101 	
1000 	145 	0.094314 	486926 	0 	140 	
1000 	145 	0.096244 	120982 	0 	36 	
1000 	145 	0.098974 	325950 	0 	98 	
1000 	145 	0.093961 	173973 	0 	52 	
1000 	146 	0.099645 	186972 	0 	56 	
1000 	146 	0.096557 	436933 	0 	130 	
1000 	146 	0.098377 	133980 	0 	40 	
1000 	147 	0.099107 	296955 	1000 	89 	
1000 	147 	0.091575 	201969 	0 	60 	
1000 	147 	0.09469 	159976 	0 	45 	
1000 	148 	0.095951 	158975 	0 	46 	
1000 	148 	0.095478 	230965 	0 	67 	
1000 	148 	0.095992 	198970 	0 	58 	
1000 	148 	0.088814 	124981 	0 	36 	
1000 	149 	0.096805 	283957 	1000 	81 	
1000 	149 	0.099959 	161975 	1000 	46 	
1000 	149 	0.0961 	210968 	999 	60 	
1000 	150 	0.099798 	217967 	0 	62 	
1000 	150 	0.096974 	173973 	0 	49 	
1000 	150 	0.096802 	229965 	0 	65 	
1000 	151 	0.097026 	211968 	0 	59 	
1000 	151 	0.091598 	111983 	0 	31 	
1000 	151 	0.09991 	178973 	0 	50 	
1000 	151 	0.098231 	207969 	0 	58 	
1000 	152 	0.093219 	123981 	1000 	34 	
1000 	152 	0.099136 	473928 	1000 	130 	
1000 	152 	0.096214 	350946 	0 	97 	
1000 	153 	0.09475 	131980 	0 	36 	
1000 	153 	0.094132 	134979 	0 	35 	
1000 	153 	0.096568 	319951 	0 	86 	
1000 	154 	0.096295 	132980 	1000 	36 	
1000 	154 	0.096429 	339948 	0 	92 	
1000 	154 	0.094643 	118982 	0 	32 	
1000 	154 	0.095146 	122982 	0 	33 	
1000 	155 	0.098128 	168975 	0 	45 	
1000 	155 	0.096374 	135979 	0 	36 	
1000 	155 	0.099947 	143978 	0 	38 	
1000 	156 	0.095059 	218966 	0 	56 	
1000 	156 	0.099422 	137979 	2999 	36 	
1000 	156 	0.096649 	156976 	1000 	40 	
1000 	157 	0.097125 	210968 	1000 	55 	
1000 	157 	0.096052 	191970 	1000 	50 	
1000 	157 	0.096728 	210968 	0 	55 	
1000 	157 	0.097201 	328950 	0 	86 	
1000 	158 	0.099335 	214967 	0 	55 	
1000 	158 	0.096132 	240963 	1000 	62 	
1000 	158 	0.094294 	267959 	1999 	69 	
1000 	159 	0.096573 	224966 	2999 	58 	
1000 	159 	0.090647 	299954 	1999 	77 	
1000 	159 	0.097886 	249962 	1000 	64 	
1000 	160 	0.096464 	132980 	2000 	33 	
1000 	160 	0.093115 	734888 	0 	181 	
1000 	160 	0.097175 	324950 	0 	80 	
1000 	160 	0.093416 	233965 	0 	58 	
1000 	161 	0.094211 	202969 	0 	50 	
1000 	161 	0.098548 	106984 	0 	26 	
1000 	161 	0.09528 	235965 	0 	58 	
1000 	162 	0.09213 	140978 	0 	34 	
1000 	162 	0.097514 	177973 	2000 	43 	
1000 	162 	0.095135 	181972 	0 	44 	
1000 	163 	0.099742 	261960 	0 	63 	
1000 	163 	0.091083 	137979 	0 	33 	
1000 	163 	0.09464 	211968 	0 	51 	
1000 	163 	0.093528 	215967 	0 	52 	
1000 	164 	0.096906 	166975 	0 	39 	
1000 	164 	0.09662 	372944 	0 	83 	
1000 	164 	0.099259 	341948 	1000 	81 	
1000 	165 	0.092563 	415937 	1000 	98 	
1000 	165 	0.094467 	336949 	0 	79 	
1000 	165 	0.094601 	250962 	999 	59 	
1000 	166 	0.099807 	252962 	999 	58 	
1000 	166 	0.099886 	218967 	0 	50 	
1000 	166 	0.097265 	252962 	1000 	58 	
1000 	166 	0.09532 	253961 	0 	58 	
1000 	167 	0.097269 	167975 	0 	38 	
1000 	167 	0.097209 	175973 	1000 	40 	
1000 	167 	0.096318 	209968 	2000 	48 	
1000 	168 	0.096225 	280957 	0 	59 	
1000 	168 	0.091231 	198970 	0 	44 	
1000 	168 	0.094683 	515922 	1000 	115 	
1000 	169 	0.098759 	204969 	0 	44 	
1000 	169 	0.090634 	1158824 	1000 	256 	
1000 	169 	0.098394 	337948 	0 	73 	
1000 	169 	0.099417 	225966 	2999 	50 	
1000 	170 	0.094196 	382942 	999 	85 	
1000 	170 	0.093119 	270959 	0 	60 	
1000 	170 	0.097138 	179973 	1000 	40 	
1000 	171 	0.09217 	234964 	0 	51 	
1000 	171 	0.095994 	221967 	0 	47 	
1000 	171 	0.092732 	289956 	0 	63 	
1000 	172 	0.09779 	275958 	0 	59 	
1000 	172 	0.09942 	386941 	1000 	83 	
1000 	172 	0.09419 	395940 	1000 	85 	
1000 	172 	0.099723 	234964 	0 	50 	
1000 	173 	0.098745 	185971 	2000 	40 	
1000 	173 	0.091243 	232964 	1000 	50 	
